page,bonus_1,bonus_2,bonus_3,bonus_4,bonus_5,bonus_6,bonus_7,bonus_8,bonus_9,bonus_10,bonus_11,bonus_12,Trail.1,Online Update.type,ESO Sets With.1,ESO Sets With.3,ESO Sets With.2,ESO Sets With.4,ESO Sets With.5,ESO Sets With.settype,ESO Sets With.6,ESO Sets With.source,ESO Sets With.7,ESO Sets With.8,ESO Sets With.9,ESO Sets With.10,ESO Sets With.11,Mod Header.1,ESO Sets With.dlc,ESO Sets With.12,ESO Weapon Damage Link.3,ESO Health Link.1,ESO Sets With.13,ESO Stamina Link.1,ESO Magicka Link.1,Item Link.quality,ESO Sets With.14,Item Link.id,Item Link.summary,Item Link.1,about.1,about.2,about.3,ESO Magicka Link.2,ESO Stamina Link.2,ESO Sets With.15,Place Link.1,ESO Sets With.dungeon,ESO Sets With.chest,ESO Sets With.boss,Item Link.2,icon.1,icon.2,ESO Quality Color.1,ESO Quality Color.2,ESO Ultimate Link.1,icon.al
Online:Tooth of Lokkestiiz,,Adds 3-129 Weapon Damage and Spell Damage,"Gain Minor Slayer at all times, increasing your damage done to Dungeon, Trial, and Arena Monsters by 5%.",Adds 3-129 Weapon Damage and Spell Damage,"When you activate a synergy while in combat, gain Major Slayer for 16 seconds, increasing your damage done to Dungeon and Trial monsters by 10%.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Double Weapon/Spell Damage,Minor Slayer,Synergy Bonus,Major Slayer,Medium Armor,5-Piece Bonus,Sunspire,Medium Armor,Any Weapon,Jewelry,Sunspire Style,,Elsweyr,Elsweyr,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Toothrow,,Adds 25-1096 Maximum Stamina,Adds 15-657 Critical Chance,Adds 15-657 Critical Chance,"Gain Major Savagery and Prophecy at all times, increasing your Weapon Critical and Spell Critical rating by 2629.",,,,,,,,Sets,itemset,Maximum Stamina,Double Weapon/Spell Critical,Weapon/Spell Critical,Double Weapon/Spell Critical,Weapon/Spell Damage,Medium Armor,Major Savagery,Wayrest Sewers,Major Prophecy,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,,,Primal Style,y,,,25-1096 Maximum,,3,,29451,1,Allene's Deathly Bow,,,,,,,,,,,,,,,,,
Online:Torc of Tonal Constancy,"While your Stamina is less than 50%, increase your Magicka Recovery by 450. While your Magicka is less than 50%, increase your Stamina Recovery by 450.",,,,,,,,,,,,Sets,itemset,Stamina Recovery,Magicka Recovery,Low Magicka Bonus,Low Stamina Bonus,1-Piece Bonus,Jewelry,Jewelry,Antiquities,Unique Style,,,,,Greymoor,Greymoor,,,,,,,5,,,,Torc Strand of Lore,the antiquity,the achievement,Torc of Tonal Constancy (achievement),Recovery,Recovery,,,,,,,armor,Torc of Tonal Constancy,m,Mythic,,right
Online:Torc of the Last Ayleid King,Reduce your damage taken by 15%. Adds 1337 Weapon Damage and Spell Damage. Adds 500 Magicka and Stamina Recovery. Disable all other item set bonuses.,,,,,,,,,,,,Sets,itemset,Reduce Damage Taken,Magicka Recovery,Weapon/Spell Damage,Stamina Recovery,Drawbacks,Jewelry,1-Piece Bonus,Antiquities,Jewelry,Unique Style,,,,,Necrom,,y,,,,,5,,,,Ancestor Silk Ribbon,the antiquity,the achievement,Torc of the Last Ayleid King (achievement),,Recovery,,,,,,,armor,Torc of the Last Ayleid King,m,Mythic,,right
Online:Tormentor,,Adds 28-1206 Maximum Health,Adds 4% Healing Taken,Adds 4% Healing Taken,"When you deal direct damage with a Blink, Charge, Leap, Teleport, or Pull ability, you gain 84-3642 Physical Resistance and Spell Resistance, taunt the first enemy hit to attack you for 15 seconds, and heal for 45% of the damage done.",,,,,,,,Sets,itemset,Maximum Health,Double Increase Healing Received,Increase Healing Received,Direct Damage Bonus,Gap Close Bonus,Heavy Armor,Skill Bonus,The Banished Cells,Taunt,Physical/Spell Resistance,Reduce Damage Taken,Restore Health,5-Piece Bonus,,,Heavy Armor,,28-1206 Maximum,Any Weapon,,,2,Jewelry,34370,1,Blessing of the Keepers of the Tormentor,,,,,,Daedric Style,,,,,,,,,,,
Online:Torug's Pact,,Adds 34-1487 Armor,Adds 28-1206 Maximum Health,Adds 34-1487 Armor,Decreases weapon enchantment cooldown by 33% and increases non Oblivion Damage weapon enchantment potency by 45%.,,,,,,,,Sets,itemset,Physical/Spell Resistance,Double Physical/Spell Resistance,Maximum Health,Improve Enchantments,5-Piece Bonus,All Weights,Consumable Bonus,,Light Armor,Medium Armor,Heavy Armor,Any Weapon,Jewelry,,,Crafting Site(s),,28-1206 Maximum,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Tracker's Lash,,Adds 3-129 Weapon Damage and Spell Damage,Adds 34-1487 Offensive Penetration,Adds 3-129 Weapon Damage and Spell Damage,"When your attack is dodged, increase your Weapon Damage and Spell Damage by 95 for 7 seconds, stacking up to 5 times. This effect can occur once every 0.5 seconds.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Double Weapon/Spell Damage,Maximum Magicka,Triple Weapon/Spell Damage,5-Piece Bonus,Light Armor,Light Armor,"""Rewards for the Worthy"" mails",Any Weapon,Jewelry,Alliance Style,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Transformative Hope,,Adds 4% Healing Done,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 3-129 Magicka Recovery,"While in combat, when you heal yourself or an ally that is below 50% Health, you ignite a Spark of Hope within them for 3 seconds. If they are above 90% Health when the effect ends, you and the ally gain Major Heroism for 15 seconds. This effect can occur once every 20 seconds per target.",,,,,,,,Sets,itemset,Increase Healing Done,Magicka Recovery,Minor Aegis,Healing Bonus,Near Death Effect,Light Armor,Full Health Bonus,Sanity's Edge,Major Heroism,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,Necrom,Necrom,Clan Dreamcarver Style,,50%,,,3-129,,,,,,,,,Recovery,,,,,,,,,,,,,
Online:Trappings of Invigoration,,Adds 3-129 Stamina Recovery,Adds 25-1096 Maximum Stamina,Adds 3-129 Stamina Recovery,"When you cast an ability that costs resources while under 25% Stamina, you restore 263-11350 Stamina. This effect can occur once every 45 seconds.",,,,,,,,Sets,itemset,Stamina Recovery,Double Stamina Recovery,Maximum Stamina,Skill Bonus,Low Stamina Bonus,Medium Armor,Restore Stamina,Fang Lair,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,Fang Lair Style,Dragon Bones,Dragon Bones,,,,,3-129,,,,,,,,,,,Recovery,,,,,,,,,,,,
Online:Treasure Hunter,,Adds 25-1096 Maximum Magicka,Adds 15-657 Critical Chance,Adds 15-657 Critical Chance,"Gain Major Savagery and Prophecy at all times, increasing your Weapon Critical and Spell Critical rating by 2629.",,,,,,,,Sets,itemset,Maximum Magicka,Double Weapon/Spell Critical,Weapon/Spell Critical,Double Weapon/Spell Critical,Weapon/Spell Damage,Light Armor,Major Savagery,Volenfell,Major Prophecy,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,,,Mercenary Style,y,,,,25-1096 Maximum,3,,33288,1,Beetle Eye Ring,,,,,,,,,,,,,,,,,
Online:Treasures of the Earthforge,,,Adds 34-1487 Armor,,,,,,,,,,Sets,itemset,,,,,,,,,,,,,,,,,,,,,,4,,,,Forge Master's Ring,,,,,,,,,,,,,,,,,
Online:Tremorscale (set),Adds 25-1096 Maximum Stamina,"When you activate a taunt ability on an enemy, you cause a duneripper to burst from the ground beneath them after 1 second, dealing 0 Physical damage to all enemies within 4 meters and reducing their Armor by 0 for 15 seconds. This effect can occur once every 10 seconds and scales off the higher of your Physical Resistance or Spell Resistance.",,,,,,,,,,,Sets,itemset,Maximum Stamina,Taunt Bonus,Skill Bonus,Physical Damage,Area of Effect,Monster Helm Sets,Reduce Enemy Defense,Volenfell,Undaunted Style,2-Piece Bonus,Head and Shoulders,,,,,,,,,25-1096 Maximum,,,,,,,the item set,the enemy,Tremorscale,,,,,Volenfell,Glirion the Redbeard,Guardian Council,,,,,,,
Online:Trial Sets,,,,,,,,,,,,,Sets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Trial Sets/Drops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Epic quality,,
Online:Trial by Fire,,Adds 28-1206 Maximum Health,Adds 34-1487 Armor,Adds 4% Healing Taken,While under the effect of an Elemental Status Effect you gain 197-8500 Armor.,,,,,,,,Sets,itemset,Maximum Health,Increase Healing Received,Physical/Spell Resistance,Negative Effect on Friendly Bonus,Double Physical/Spell Resistance,All Weights,5-Piece Bonus,Malacath Statue,Light Armor,Medium Armor,Heavy Armor,Any Weapon,Jewelry,Orsinium,Orsinium,Crafting Site(s),,28-1206 Maximum,,,,,,,,,,,,,,,Malacath Statue,,,,,,,,,,
Online:Trinimac's Valor,,Adds 3-129 Magicka Recovery,Adds 25-1096 Maximum Magicka,Adds 3-129 Magicka Recovery,"When you cast a damage shield, you call down a fragment of Trinimac that heals you and group members for 1396 Health and damages enemies for 1396 Magic damage in a 5 meter radius after a 2 second delay. This effect can occur once every 5 seconds and scales with the higher of your Max Magicka or Stamina.",,,,,,,,Sets,itemset,Magicka Recovery,Double Magicka Recovery,Maximum Magicka,Damage Shield Bonus,Skill Bonus,Light Armor,Group Bonus,Wrothgar,Restore Health,Heal Others,Magic Damage,Area of Effect,5-Piece Bonus,Orsinium,Orsinium,Light Armor,,1396,Any Weapon,,3-129,2,Jewelry,71004,1,,,,,Recovery,,Trinimac Style,,,,,Diagnan Hauberk,,,,,,
Online:True-Sworn Fury,,Adds 15-657 Critical Chance,Adds 3-129 Weapon Damage and Spell Damage,Adds 25-1096 Maximum Magicka,"Adds 16-708 Critical Chance and increases your Critical Damage by 0-4%. While in combat, this bonus doubles when you are under 75% Health and quadruples when you are under 50% Health.",,,,,,,,Sets,itemset,Weapon/Spell Critical,Weapon/Spell Damage,Weapon/Spell Damage,Maximum Magicka,Double Weapon/Spell Critical,Light Armor,Increase Critical Damage,Black Drake Villa,Near Death Effect,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,Flames of Ambition,Flames of Ambition,True-Sworn Style,y,75%,,,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,
Online:Turning Tide,,Adds 28-1206 Maximum Health,Adds 25-1096 Maximum Stamina,Adds 28-1206 Maximum Health,"When you Block, you gain Flowing Water for 10 seconds, causing your next Bash attack to deal 2223 Magic damage to up to 6 enemies in a 5 by 10 meter line, and apply Major Vulnerability for 10 seconds, increasing their damage taken by 10%. This effect can occur once every 15 seconds and scales off your Max Health.",,,,,,,,Sets,itemset,Maximum Health,Maximum Stamina,Double Maximum Health,Block Bonus,Bash Bonus,Heavy Armor,Area of Effect,Shipwright's Regret,Magic Damage,Major Vulnerability,5-Piece Bonus,Heavy Armor,Any Weapon,Ascending Tide,Ascending Tide,Jewelry,,28-1206 Maximum,Dreadsails Style,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,,
Online:Twice-Born Star,,Adds 28-1206 Maximum Health,Adds 25-1096 Maximum Stamina,Adds 25-1096 Maximum Magicka,You can have two Mundus Stone boons at the same time.,,,,,,,,Sets,itemset,Maximum Health,Maximum Magicka,Maximum Stamina,Mundus Stone Bonus,5-Piece Bonus,All Weights,Light Armor,Atelier of the Twice-Born Star,Medium Armor,Heavy Armor,Any Weapon,Jewelry,Crafting Site(s),,,,,28-1206 Maximum,,25-1096 Maximum,25-1096 Maximum,,,,,,,,,,,,Atelier of the Twice-Born Star,,,,,,,,,,
Online:Twice-Fanged Serpent,,Adds 3-129 Weapon Damage and Spell Damage,Adds 34-1487 Offensive Penetration,Adds 15-657 Critical Chance,"When you deal damage, your Offensive Penetration is increased by 15-660 for 5 seconds, stacking up to 5 times. This effect can occur once every half second.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Weapon/Spell Critical,Maximum Stamina,Physical/Spell Penetration,Physical/Spell Penetration,Medium Armor,5-Piece Bonus,Sanctum Ophidia,Medium Armor,Any Weapon,Jewelry,Celestial Style,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Twilight Remedy,,Adds 3-129 Magicka Recovery,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 3-129 Weapon Damage and Spell Damage,"When an ally activates a synergy you have created within 10 seconds, they heal themselves for 7704 Health over 15 seconds and gain Minor Force for the duration, increasing their Critical Damage by 10%. This effect scales off the higher of the synergy activator's Max Magicka or Stamina.",,,,,,,,Sets,itemset,Magicka Recovery,Weapon/Spell Damage,Minor Aegis,Skill Bonus,Synergy Bonus,Light Armor,Heal Others,Maw of Lorkhaj,Minor Force,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,Thieves Guild,Thieves Guild,Dro-m'Athra Style,y,7704,,,3-129,,,,,,,,,Recovery,,,,,,,,,,,,,
Online:Twilight's Embrace,,Adds 25-1096 Maximum Magicka,Adds 15-657 Critical Chance,Adds 3-129 Weapon Damage and Spell Damage,Increases your healing received by 10%.,,,,,,,,Sets,itemset,Maximum Magicka,Weapon/Spell Damage,Weapon/Spell Critical,Weapon/Spell Damage,Increase Healing Received,All Weights,5-Piece Bonus,,Light Armor,Medium Armor,Heavy Armor,Any Weapon,Jewelry,,,Crafting Site(s),y,,,,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,
Online:Twin Sisters,,Adds 3-129 Stamina Recovery,Adds 25-1096 Maximum Stamina,Adds 15-657 Critical Chance,"When you Block, you cause all enemies within 5 meters of you to bleed for 1932 Bleed Damage over 10 seconds. This effect can occur once every 10 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Stamina Recovery,Weapon/Spell Critical,Maximum Stamina,Block Bonus,Area of Effect,Medium Armor,Bleed Damage,Auridon,Damage Over Time,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,,,High Elf Style,y,,,3-129,,2,,7605,1,Divine-Touched Aegis,,,,,Recovery,,,,,,,,,,,,
Online:Tzogvin's Warband,,Adds 15-657 Critical Chance,Adds 15-657 Critical Chance,Adds 34-1487 Offensive Penetration,"When you deal Critical Damage, you gain a stack of Precision, increasing your Critical Chance by 4-177 for 5 seconds, up to 10 stacks max. At max stacks, you also gain Minor Force, increasing your Critical Damage done by 10%. This effect can occur once every half second.",,,,,,,,Sets,itemset,Weapon/Spell Critical,Double Weapon/Spell Critical,Double Weapon/Spell Critical,Physical/Spell Penetration,Critical Damage Bonus,Medium Armor,Triple Weapon/Spell Critical,Frostvault,Minor Force,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,Wrathstone,Wrathstone,Coldsnap Style,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Ulfnor's Favor,,Adds 28-1206 Maximum Health,Adds 3-129 Stamina Recovery,Adds 4% Healing Taken,Increases the Magicka or Stamina your Heavy Attacks restore by 30%.,,,,,,,,Sets,itemset,Maximum Health,Stamina Recovery,Magicka Recovery,Increase Healing Received,Heavy Attack Bonus,Heavy Armor,Restore Stamina,Fang Lair,Restore Magicka,5-Piece Bonus,Heavy Armor,Any Weapon,Jewelry,Dragon Bones,Dragon Bones,Fang Lair Style,,28-1206 Maximum,,3-129,3-129,,,,,,,,,Recovery,Recovery,,,,,,,,,,,,
Online:Umbral Edge,,Adds 28-1206 Maximum Health,Adds 34-1487 Armor,Adds 25-1096 Maximum Stamina,"When you cast a Shadow ability, you gain Umbral Riposte for 3 seconds, up to once every 6 seconds. Umbral Riposte causes you to dodge the next attack made against you and automatically curses the attacking enemy, applying Major Vulnerability for 5 seconds, increasing their damage taken by 10%.",,,,,,,,Sets,itemset,Maximum Health,Maximum Stamina,Physical/Spell Resistance,Skill Bonus,Class Abilities Bonus,All Weights,Dodge,Infinite Archive,Counterattack,Major Vulnerability,5-Piece Bonus,Light Armor,Medium Armor,,,Heavy Armor,,28-1206 Maximum,Any Weapon,25-1096 Maximum,,,Jewelry,,,,,,,,,Soulcleaver Style,,,,,,,,,,,
Online:Unchained Aggressor,,Adds 25-1096 Maximum Stamina,Adds 3-129 Stamina Recovery,Adds 3-129 Weapon Damage and Spell Damage,"After Breaking Free, gain Major Berserk for 12 seconds, increasing your damage done by 10%. This effect can occur once every 14 seconds.",,,,,,,,Sets,itemset,Maximum Stamina,Weapon/Spell Damage,Stamina Recovery,Break Free Bonus,Major Berserk,All Weights,5-Piece Bonus,Bruma Armory,Light Armor,Medium Armor,Heavy Armor,Any Weapon,Jewelry,,,Crafting Site(s),y,,,25-1096 Maximum,,,,,,,,,,,Recovery,,Bruma Armory,,,,,,,,,,
Online:Undaunted Bastion,,Adds 28-1206 Maximum Health,Adds 34-1487 Armor,Adds 34-1487 Armor,"When you use a taunt ability while you are under 75% Health, gain a damage shield that absorbs 328-14127 damage for 6 seconds. This effect can occur once every 10 seconds.",,,,,,,,Sets,itemset,Maximum Health,Double Physical/Spell Resistance,Physical/Spell Resistance,Double Physical/Spell Resistance,Skill Bonus,Heavy Armor,Taunt Bonus,Elden Hollow,Near Death Effect,Damage Shield,5-Piece Bonus,Heavy Armor,Any Weapon,,,Jewelry,,28-1206 Maximum,Mercenary Style,,,3,,16221,1,,,,,,,,,,,,Akash's First Love,,,,,,
Online:Undaunted Infiltrator,,Adds 25-1096 Maximum Stamina,Adds 25-1096 Maximum Stamina,Adds 15-657 Critical Chance,"When you use an ability that costs Magicka while in combat, you increase the damage of your Light and Heavy Attacks against monsters by 38-1645 for 10 seconds.",,,,,,,,Sets,itemset,Maximum Stamina,Weapon/Spell Critical,Double Maximum Stamina,Skill Bonus,Increase Light/Heavy Attack Damage,Medium Armor,5-Piece Bonus,Arx Corinium,Medium Armor,Any Weapon,Jewelry,Mercenary Style,,,,,,,,25-1096 Maximum,,3,,28978,1,Chain of the Snake-Charmer,,,,,,,,,,,,,,,,,
Online:Undaunted Unweaver,,Adds 25-1096 Maximum Magicka,Adds 25-1096 Maximum Magicka,Adds 15-657 Critical Chance,"When you use an ability that costs Stamina while in combat, you increase the damage of your Light and Heavy Attacks against monsters by 38-1645 for 10 seconds.",,,,,,,,Sets,itemset,Maximum Magicka,Weapon/Spell Critical,Double Maximum Magicka,Skill Bonus,Increase Light/Heavy Attack Damage,Light Armor,5-Piece Bonus,Blackheart Haven,Light Armor,Any Weapon,Jewelry,Mercenary Style,,,,,,,,,25-1096 Maximum,3,,22187,1,Atarus' Masher,,,,,,,,,,,,,,,,,
Online:Unfathomable Darkness,,Adds 15-657 Critical Chance,Adds 34-1487 Offensive Penetration,Adds 3-129 Weapon Damage and Spell Damage,"When you deal damage, you call a murder of crows around you for 12 seconds. Every 3 seconds a crow will be sent to peck the closest enemy within 12 meters of you, dealing 871 Physical Damage. This effect can occur once every 15 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Weapon/Spell Critical,Physical/Spell Penetration,Physical/Spell Penetration,Weapon/Spell Damage,Distance Bonus,Medium Armor,Physical Damage,Clockwork City,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,Ebonshadow Style,Clockwork City,Clockwork City,,y,,,,,3,,133235,,Cleft Striders,,,,,,,,,,,,,,,,,
Online:Unflinching Ultimate,,Adds 28-1206 Maximum Health,Adds 28-1206 Maximum Health,Adds 34-1487 Armor,Gain 1 second of immunity to crowd control effects after casting an Ultimate for each 20 Ultimate spent.,,,,,,,,Sets,itemset,,,,,,,,,,,,,,Feast of Shadows,,,,28-1206 Maximum,,,,,,,,,,,,,,,,,,,,,,,,20,
Online:Unleashed Ritualist,,Adds 3-129 Weapon Damage and Spell Damage,Adds 15-657 Critical Chance,Adds 3-129 Weapon Damage and Spell Damage,Increases your damage done with summoned pets by 0-20%.,,,,,,,,Sets,itemset,Maximum Magicka,Triple Maximum Magicka,Double Maximum Magicka,Negative Effect Bonus,Pet Bonus,Light Armor,5-Piece Bonus,The Cauldron,Light Armor,Any Weapon,Jewelry,Waking Flame Style,,Flames of Ambition,Flames of Ambition,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Unleashed Terror,,Adds 3-129 Weapon Damage and Spell Damage,Adds 25-1096 Maximum Stamina,Adds 25-1096 Maximum Stamina,"When you deal direct damage with a Blink, Charge, Leap, Teleport, or Pull ability, you cut your enemy, causing them to bleed for 10 seconds, dealing 1870 Bleed damage over the duration and applying the Hemorrhaging status effect every tick. This ability can occur once every 10 seconds per target and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Double Maximum Stamina,Maximum Stamina,Direct Damage Bonus,Skill Bonus,Medium Armor,Gap Close Bonus,Castle Thorn,Bleed Damage,Damage Over Time,Apply Status Effects,5-Piece Bonus,Medium Armor,Stonethorn,Stonethorn,Any Weapon,y,,Jewelry,25-1096 Maximum,,,Thorn Legion Style,,,,,,,,,,,,,,,,,,,,
Online:Valkyn Skoria (set),Adds 34-1487 Offensive Penetration,"When you deal damage with a damage over time effect, you have an 8% chance to summon a meteor that deals 1342 Flame damage to the target and 447 Flame damage to all other enemies within 5 meters. This effect can occur once every 5 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,,,,Sets,itemset,Physical/Spell Penetration,Flame Damage,Damage Over Time Bonus,Area of Effect,Undaunted Style,Monster Helm Sets,2-Piece Bonus,City of Ash II,Head and Shoulders,,,,,,,,y,,,,,,,,,,the item set,the enemy,Valkyn Skoria (person),,,,,City of Ash II,Glirion the Redbeard,Valkyn Skoria,,,,,,,
Online:Vampire Cloak,,Adds 28-1206 Maximum Health,Adds 3-129 Weapon Damage and Spell Damage,Adds 28-1206 Maximum Health,"Gain Minor Protection at all times, reducing your damage taken by 5%.",,,,,,,,Sets,itemset,Maximum Health,Double Maximum Health,Weapon/Spell Damage,Double Weapon/Spell Damage,Minor Protection,Heavy Armor,5-Piece Bonus,Rivenspire,Heavy Armor,Any Weapon,Jewelry,Breton Style,,,,,y,28-1206 Maximum,,,,2,,7294,1,,,,,,,,,,,,Dathieu's Traitorous Axe of the Vampire's Cloak,,,,,,
Online:Vampire Lord (set),,Adds 25-1096 Maximum Magicka,Adds 3-129 Weapon Damage and Spell Damage,Adds 15-657 Critical Chance,"Increases the bonuses and penalties of your Vampire Stage, depending on how far you've progressed. Stage 1/2/3/4 1%/2%/4%/6% additional Flame Damage Taken. 1%/2%/4%/6% increased Regular Ability cost. 5%/10%/15%/20% reduced Vampire Ability cost.",,,,,,,,Sets,itemset,Maximum Magicka,Weapon/Spell Critical,Weapon/Spell Damage,Weapon/Spell Critical,Skill Bonus,Light Armor,Drawbacks,Bangkorai,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,High Elf Style,,,,y,,,,25-1096 Maximum,2,,15619,1,Crozier of St. Pelin,,,,,,,,,,,,,,,,,
Online:Vampire's Kiss,,Adds 25-1096 Maximum Stamina,Adds 25-1096 Maximum Magicka,Adds 25-1096 Maximum Magicka,"When you kill an enemy, you heal for 10512 Health over 10 seconds. This effect scales off the higher of your Max Magicka or Stamina.",,,,,,,,Sets,itemset,Maximum Stamina,Double Maximum Stamina,Maximum Magicka,Double Maximum Magicka,Weapon/Spell Damage,All Weights,Kill Bonus,,Restore Health,5-Piece Bonus,Light Armor,Medium Armor,Heavy Armor,,,Any Weapon,y,10512,Jewelry,25-1096 Maximum,25-1096 Maximum,,Crafting Site(s),,,,,,,,,,,,,,,,,,,,
Online:Vandorallen's Resonance,,Adds 34-1487 Offensive Penetration,Adds 15-657 Critical Chance,Adds 3-129 Weapon Damage and Spell Damage,"Dealing damage with a fully-charged Heavy Attack places an electric charge on yourself and below your enemy. After 1 second, both charges explode in a 4 meter blast, each dealing 914 Shock damage to enemies hit. This effect can occur once every 6 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Physical/Spell Penetration,Weapon/Spell Critical,Weapon/Spell Damage,Heavy Attack Bonus,Area of Effect,Light Armor,Shock Damage,Exiled Redoubt,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,Exile's Revenge Style,Fallen Banners,Fallen Banners,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Vanguard's Challenge,,Adds 28-1206 Maximum Health,Adds 28-1206 Maximum Health,Adds 4% Healing Taken,"When you taunt an enemy player, they deal 35% less damage to all other players but 35% more damage to you for 15 seconds. This effect is lost if you enter Sneak, invisibility, or move further than 28 meters away from them.",,,,,,,,Sets,itemset,Maximum Health,Increase Healing Received,Double Maximum Health,PvP Bonus,Taunt Bonus,Heavy Armor,Reduce Enemy Damage Done,Battlegrounds,Drawbacks,Distance Bonus,5-Piece Bonus,Heavy Armor,Any Weapon,,,Jewelry,,28-1206 Maximum,Militant Ordinator Style,,,,,,,,,,,,,,,,,,,,,,,,
Online:Varen's Legacy,,Adds 28-1206 Maximum Health,Adds 25-1096 Maximum Stamina,Adds 4% Healing Taken,"When you Block, your next direct damage area of effect attack used within 5 seconds deals an additional 76-3290 damage. This bonus does not work with channeled effects. This effect can occur once every 2 seconds.",,,,,,,,Sets,itemset,Maximum Health,Increase Healing Received,Maximum Stamina,Block Bonus,Increase Area of Effect Damage,All Weights,5-Piece Bonus,Strid River Artisans Camp,Light Armor,Medium Armor,Heavy Armor,Any Weapon,Jewelry,Dark Brotherhood,Dark Brotherhood,Crafting Site(s),,28-1206 Maximum,,25-1096 Maximum,,,,,,,,,,,,,Strid River Artisans Camp,,,,,,,,,,
Online:Vastarie's Tutelage,,Adds 25-1096 Maximum Stamina,Adds 28-1206 Maximum Health,Adds 25-1096 Maximum Magicka,"When you resurrect an ally, you and your ally gain 6-258 Weapon Damage and Spell Damage and 10% cost reduction to non-Ultimate abilities for 10 seconds.",,,,,,,,Sets,itemset,Maximum Stamina,Maximum Magicka,Maximum Health,Stamina Recovery,Magicka Recovery,All Weights,Improve Resurrection,Rimmen Masterworks,Weapon/Spell Damage,Reduce Stamina Cost,Reduce Health Cost,Reduce Magicka Cost,5-Piece Bonus,Elsweyr,Elsweyr,Light Armor,y,28-1206 Maximum,Medium Armor,25-1096 Maximum,25-1096 Maximum,,Heavy Armor,,,,,,,Recovery,Recovery,Any Weapon,Rimmen Masterworks,,,,,,,,,,
Online:Vateshran Weapons,,,,,,,,,,,,,Sets,,,,,,,,,,,,,,,Markarth,,,,,,,,,,,,,,,,,,,,,,,,w,Axe-Ancestral Reach,,,,
Online:Velidreth (set),Adds 3-129 Weapon Damage and Spell Damage,"When you deal damage, you have a 20% chance to spawn 3 disease spores in front of you after 1 second that deal 1557 Disease damage to any enemy they hit. This effect can occur once every 8 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,,,,Sets,itemset,Weapon/Spell Damage,Area of Effect,Disease Damage,Undaunted Style,2-Piece Bonus,Monster Helm Sets,Head and Shoulders,Cradle of Shadows,,,,,,Shadows of the Hist,Shadows of the Hist,,y,,,,,,,,,,the item set,the enemy,Velidreth,,,,,Cradle of Shadows,Urgarlag Chief-bane,Velidreth,,,,,,,
Online:Velothi Ur-Mage's Amulet,"Increase your damage done to monsters by 15%, gain Minor Force at all times, increasing your Critical Damage done by 10%, and reduce your Light and Heavy Attack damage by 99%.",,,,,,,,,,,,Sets,itemset,Physical/Spell Penetration,Minor Force,Increase Damage Dealt,Drawbacks,Unique Style,Jewelry,1-Piece Bonus,Antiquities,Jewelry,,,,,Greymoor,Necrom,,,,,,,5,,,,Ebony Crossed-Sword Chain,the antiquity,the achievement,Velothi Ur-Mage's Amulet (achievement),,,,,,,,,armor,Velothi Ur-Mage's Amulet,,,,right
