page,Online Skill Summary.line,Online Skill Summary.desc,Online Skill Summary.icon,Online Skill Summary.id,ESO Patch Note.1,ESO Patch Note.2,ESO Skills With.1,Online Skill Summary.type,ESO Skills With.2,Online Skill Summary.desc2,ESO Skills With.3,Online Skill Summary.linerank1,Online Skill Summary.linerank,Online Skill Summary.cost,Online Skill Summary.target,Online Skill Summary.casttime,ESO Skills With.4,Online Skill Summary.linerank2,Online Skill Summary.image,Online Skill Summary.imgdesc,Online Skill Summary.id1,Online Skill Summary.id2,Online Skill Summary.desc1,Online Skill Summary.morph1name,Online Skill Summary.morph1id,Online Skill Summary.morph1desc,Online Skill Summary.morph2name,Online Skill Summary.morph2id,Online Skill Summary.morph2icon,Online Skill Summary.morph2desc,Online Skill Summary.morph1icon,ESO Skills With.5,Mod Header.1,Online Skill Summary.duration,ESO Skills With.6,Online Skill Summary.attrib,Online Skill Summary.range,ESO Skills With.7,Online Skill Summary.radius,ESO Companion Skills With.1,ESO Companion Skills With.2,ESO Skills With.8,Online Skill Summary.desc3,Online Skill Summary.linerank3,Online Skill Summary.id3,ESO Skills With.9,ESO Companion Skills With.3,ESO Health Link.1,Online Skill Summary.area
Online:Spell Recharge,High Elf,"When you activate an ability, you restore 200 Magicka or Stamina, based on whichever is lowest. This effect can occur once every 6 seconds. When you are using an ability with a channel or cast time, you take 1% less damage.",High Elf-Spell Recharge,45274,4.3.5,"* Spellcharge: Gain 9% Magicka Recovery → Spell Recharge: Restore 645 Magicka or Stamina, based on whichever is lowest, after activating a Class Ability. This effect can occur once every 6 seconds. Reduces damage taken by 5% while you are using an ability with a cast or channel time. ** Developer Comment: Previously, High Elves offered bonuses that weren't distinct enough from other races, so we decided to repurpose their Recovery passive into one that captured the race's belief in destiny or birth right (in this case, your class!) while tying it to their off-stat resource pool to showcase their knack for efficiency. Now when casting a class ability, they will retain or convert a portion of that cost and restore their lowest resource pool with the power of Alteration Magic. The Elemental Talent passive was also restricting which sorts of damage types and abilities could scale with it, so we converted it to a flat bonus of Spell Damage to allow all damage types, as well as healing, to gain effect.",Passive Effect,Passive,Restore Magicka,"When you activate an ability, you restore 400 Magicka or Stamina, based on whichever is lowest. This effect can occur once every 6 seconds. When you are using an ability with a channel or cast time, you take 2% less damage.",Restore Stamina,5,,,,,Reduce Damage Taken,15,,,35993,45273,,,,,,,,,,,,,,,,,,,,,"When you activate an ability, you restore 625 Magicka or Stamina, based on whichever is lowest. This effect can occur once every 6 seconds. When you are using an ability with a channel or cast time, you take 5% less damage.",30,45274,,,,
Online:Spell Warding,Light Armor,Increases your Spell Resistance by 363 for each piece of Light Armor equipped.,Light Armor-Spell Warding,45559,,,Passive Effect,Passive,Light Armor Boost,Increases your Spell Resistance by 726 for each piece of Light Armor equipped.,Increase Spell Resistance,14,,,,,,34,,,29663,45559,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Sphere of Influence,Class Mastery,"Magicka extends your reach, a benefit to those who fight beside you. Casting a damage shield on yourself or an ally grants an additional shield that absorbs up to 2419 damage for 4 seconds and 225 Health, Magicka, and Stamina Recovery for 12 seconds. The shield scales off the higher of your Max Health or Max Magicka, and is capped at 25% of the target's Max Health.",Soul Magic-Soul Summons,263874,12.0.0,"*This passive causes your damage shield abilities to grant an additional damage shield to the target for 3 seconds that absorbs up to 15% of their Max Health as damage, scaling with 25% of the higher of your Max Magicka or Health. Targets also gain 150 Health, Magicka, and Stamina Recovery for 4 seconds",,Passive,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max,
Online:Spiked Armor,Earthen Heart,"Envelop your body in molten spikes to increase your damage done by [100] and gain Major Resolve, increasing Physical Resistance and Spell Resistance by 5948 for 20 seconds.",Draconic Power-Spiked Armor,23828,1.1.2,* The damage return for this ability and its morphs has been increased.,Increase Armor,,Counter Attack,"Target: Area. Radius: 10 meters. Envelop your body in molten spikes to increase your damage done by [100] and gain Major Resolve, increasing Physical Resistance and Spell Resistance by 5948 for 20 seconds. As the armor forms you blast foes around you with shattered obsidian, causing them to take [5148] Flame Damage over 20 seconds. When this effect deals damage, you gain a stack of Landslide, up to once every 10 seconds.",Fire Damage,,42,2700 Magicka,Self,Instant,Damage Shield,,ON-skill-Spiked Armor.jpg,A character affected by Spiked Armor,,,"Envelop your body in molten spikes to increase your damage done by [100] and gain Major Resolve, increasing Physical Resistance and Spell Resistance by 5948 for 20 seconds. Power drawn from the heart of a volcano forms a damage shield around you that absorbs up to [5444] for 6 seconds scaling off of your Max Health",Earthshield Mantle,23856,Gain a damage shield after casting.,Shatterspike Mantle,23842,Draconic Power-Volatile Armor,Enemies near you take damage over time when you activate the ability.,Draconic Power-Hardened Armor,Area of Effect,,20 seconds,Damage Over Time,Magicka,,Magicka Cost,,,,,,,,,,,
Online:Spinning Steel,Dual Wield (Companion),"Your Companion launches themselves in a lethal spin, dealing 1575 Physical Damage to nearby enemies. Deals triple damage to enemies below 25% Health.",Companion-Spinning Steel,152693,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,10,16 seconds,Area,0.4 seconds,,,,,,,,,,,,,,,,,Blackwood,,,,,,6 meters,Physical Damage,Area of Effect,,,,,,Execute,,
Online:Spirit Mender,Living Death,"Conjure a ghostly spirit to do your bidding and stay by your side for 16 seconds. The spirit heals you or the lowest Health ally around you every 2 seconds, restoring [1845 / 1865 / 1885 / 1905] Health. Creates a corpse on death if you are in combat.",Living Death-Spirit Mender,40115710,5.1.5,"* Increased the cost of this ability and its morphs to 4320 from 2430, and increased the healing per tick by approximately 90%. * Intensive Mender (morph): This morph now heals for twice as much per tick, rather than 3 times. Reduces the duration in half, but also reduces the cost to half.",Summon,,Heal Self,"Cost: 2160 Magicka, Duration: 8 seconds, Area: 8 meters, Target: Area. Conjure a ghostly spirit to do your bidding and stay by your side for 8 seconds. The spirit heals you or lowest Health ally around you every 2 seconds, restoring [3811 / 3852 / 3894 / 3936] Health to the target and 2 allies nearby them. Creates a corpse on death if you are in combat.",Heal Others,,30,4320 Magicka,Self,Instant,Free Corpse,,ON-skill-Spirit Mender.jpg,Spirit Mender,,,"Conjure a ghostly spirit to do your bidding and stay by your side for 16 seconds. The spirit heals you or the lowest Health ally around you every 2 seconds, restoring [1905 / 1925 / 1946 / 1967] Health. While active, 10% of the damage you take is transferred to the spirit instead. Creates a corpse on death if you are in combat.",Spirit Guardian,40118912,Some of the damage you take is transferred to the spirit instead.,Intensive Mender,40118840,Living Death-Intensive Mender,"The spirit lasts for half as long, but heals for twice the amount, heals two additional allies, and costs half as much.",Living Death-Spirit Guardian,Reduce Damage Taken,Elsweyr,16 seconds,Magicka Cost,Magicka,,,,,,,,,,,,,
Online:Spirited,High Elf (Companion),Decreases damage taken by 3% and increases damage done by 3%.,High Elf-Spell Recharge,,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion Passive,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passive Effect,Reduce Damage Taken,,,,,,Increase Damage Dealt,,
Online:Splintered Secrets,Herald of the Tome,What they don't know can kill them. Increase your Physical Penetration and Spell Penetration by 620 per Herald of the Tome ability slotted.,Herald of the Tome-Splintered Secrets,184887,10.3.5,"* This passive now increases your Offensive Penetration per Herald of the Tome ability slotted by 620/1240, up from 495/991.",Physical Penetration,Passive,Spell Penetration,What they don't know can kill them. Increase your Physical Penetration and Spell Penetration by 1240 per Herald of the Tome ability slotted.,Passive Effect,39,,,,,,50,,,184885,184887,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Staggering Swing,Two Handed (Companion),"Your Companion slams an enemy with an upward swing and sends them flying, dealing 3150 Physical Damage, stunning them for 2.5 seconds, and knocking them back 4 meters.",Companion-Staggering Swing,152433,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,1,16 seconds,Enemy,1 second,,,,,,,,,,,,,,,,,Blackwood,,,,5 meters,,,Physical Damage,Knockback,,,,,,Stun,,
Online:Stalwart,Nord,"Increases your Max Stamina by 500. When you take damage, you gain 1 Ultimate. This effect can occur once every 10 seconds.",Nord-Stalwart,45298,2.5.5,"* Robust: This passive ability has been renamed to ""Stalwart."" It now increases your Health Recovery by 6/13/20%, down from 10/20/30% and your Max Stamina by 2/4/6%.",Passive Effect,Passive,Increase Max Stamina,"Increases your Max Stamina by 1000. When you take damage, you gain 2 Ultimate. This effect can occur once every 10 seconds.",Ultimate Gain,10,,,,,,20,,,36064,45297,,,,,,,,,,,,,,,,,,,,,"Increases your Max Stamina by 1500. When you take damage, you gain 5 Ultimate. This effect can occur once every 10 seconds.",40,45298,,,,
Online:Starfall,Mages Guild (Companion),"Your Companion calls a comet down from the constellations to blast an enemy, dealing 3150 Flame Damage.",Companion-Starfall,155403,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,1,8 seconds,Enemy,0.6 seconds,,,,,,,,,,,,,,,,,Blackwood,,,,28 meters,,,Flame Damage,,,,,,,,,
Online:Static Reverberation,Class Mastery,"The battlefield crackles with untapped potential. Make use of it. When you deal damage, you have a 5% chance to deal 942 Shock Damage, up to once every 0.3 seconds. The chance increases by 1% for every 1% missing Health the target has. The chance is divided by 1 plus every permanent pet you have active.",Class Mastery-Static Reverberation,263872,12.0.0,"*This harkens to an ancient passive (Implosion). This passive causes your damaging attacks to have a 1% chance for every 1% missing Health the target has, to trigger an additional hit of Shock Damage (31.5% of the higher of your Weapon or Spell Damage), up to once every 200ms. **This chance is further reduced for every permanent pet you have active. The calculation is % chance (based on 1% for each missing Health) divided by 1 + the number of permanent pets you have active.",,Passive,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Steadfast Candescence,Class Mastery,Your conviction is unwavering. Light gives no quarter. Sacred Ground now activates and refreshes itself while Bracing. Increases the amount of damage you can block by 20% while stationary.,Aedric Spear-Spear Wall,263589,12.0.0,*This passive increases the amount of damage you can block by 20% while stationary and causes you to gain Sacred Ground while Bracing.,,Passive,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Steadfast Ward,Restoration Staff,"Call on your staff's strength to protect you or the lowest health ally around you with a damage shield that absorbs [6149 / 6216 / 6284 / 6351] damage for 6 seconds. The shield's strength is increased by up to 100%, depending on the severity of the target's wounds.",Restoration Staff-Steadfast Ward,41310,1.2.3,* Corrected this ability's tooltip so that it matches what the ability actually does. The tooltip no longer states that it only heals allies in front of you.,Damage Shield,,Near Death Effect,"Call on your staff's strength to protect you or the lowest health ally around you with a damage shield that absorbs [6352 / 6421 / 6491 / 6561] damage. The shield's strength is increased by up to 100%, depending on the severity of the target's wounds. While the shield persists, the target is healed for 33% of the shield's remaining strength every second.",Heal Self,,20,4590 Magicka,Area,Instant,Heal Others,,ON-skill-Steadfast Ward.jpg,Steadfast Ward and Ward Ally morph,,,"Cost: [4590 / 4500 / 4410 / 4320] Magicka. Call on your staff's strength to protect you and the lowest health ally around you with a damage shield that absorbs 6352 damage. The shield's strength is increased by up to 100%, depending on the severity of the target's wounds.",Ward Ally,41302,"Cast two shields instead of one, with one shield always on yourself. Reduces the cost as the ability ranks up.",Healing Ward,41320,Restoration Staff-Healing Ward,Heals target based on the shield's strength every second it persists.,Restoration Staff-Ward Ally,Magicka Cost,,6 seconds,,Magicka,,,28 meters,,,,,,,,,,
Online:Stealthy,Khajiit,Reduces your detection radius in stealth by 1 meter. Increases your damage done while in stealth by 3%.,Khajiit-Stealthy,45296,,,Passive Effect,Passive,Improve Stealth,Reduces your detection radius in stealth by 2 meters. Increases your damage done while in stealth by 6%.,Stealth Bonus,10,,,,,,20,,,36022,45295,,,,,,,,,,,,,,,,,,,,,Reduces your detection radius in stealth by 3 meters. Increases your damage done while in stealth by 10%.,40,45296,,,,
Online:Stitching,Clothing,Reduces research times by 5% and allows the research of two items at once.,Clothing-Stitching,58782,,,Crafting Effect,Passive,Reduce Research Time,Reduces research times by 10% and allows the research of two items at once.,,8,,,,,,18,,,48190,48191,,,,,,,,,,,,,,,,,,,,,Reduces research times by 20% and allows the research of three items at once.,28,48192,,,,
Online:Stonefist,Earthen Heart,"Roil the air around you or an ally, granting a damage shield that absorbs up to [5173] for 6 seconds. This ability scales off the higher of the higher of your Max Magicka or Stamina and is capped at 50% of the target's Max Health",,32194,1.5.2,* Obsidian Shard: Rank I of this ability now has the same travel speed as the other ranks.,Physical Damage,,Area of Effect,"Cost: 2295 Stamina, Target: Enemy. Draw forth magma from below to hurl at an enemy, dealing [1784] Flame Damage while applying a stack of Heat Shock, which increases the enemy's damage taken by [66] for 7 seconds per stack, up to 3 times. Hitting an enemy at max stacks of Heat Shock with this ability increases the damage done of the net cast of this ability within 6 seconds by [66]%, up to once every 6 seconds.",Stun,,1,4590 Magicka,Cone,Instant,Fire Damage,,ON-skill-Stonefist.jpg,Stonefist,,,"Roil the air around you or an ally, granting a damage shield that absorbs up to [5173] for 6 seconds and reducing the net instance of damage taken by 10%. When the sheild ends the latent heat warms the target, healing them for [1784] Health. This ability scales off the higher of the higher of your Max Magicka or Stamina and is capped at 50% of the target's Max Health",Volcanic Ward,32199,Adds damage reduction to the next attack. Heals when the shield ends.,Magma Fist,32205,Earthen Heart-Obsidian Shard,Converts into a Stamina ability that deals damage instead of shielding. Enemies hit take additional damage from all sources.,,Heal Self,,,Heal Others,Magicka,28 meters,Increase Damage Taken,,,,Stamina Cost,,,,Magicka Cost,,,
Online:Strands of the Lattice,Warrior's Banishment,"Zerith-var dislodges a spirit's tie to a corpse, releasing spiritual energy and dealing 787 Disease Damage every 2 seconds over 10 seconds to all enemies around the corpse, around themselves, and between them and the corpse. When this release ends, it causes the corpse to explode, dealing an additional 3150 Disease Damage to all enemies around the corpse. Used when Zerith-var has a corpse within the area.",Companion-Strands of the Lattice,,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,11,11.6 seconds,Area,0.2 seconds,,,,,,,,,,,,,,,,,,,,,,,28 meters,Disease Damage,Area of Effect,,,,,,,,
Online:Strife,Siphoning,"Steal an enemy's life force, dealing [4100 / 4145 / 4190 / 4235] Magic Damage and healing you or a nearby ally for 50% of the damage inflicted every 2 seconds for 10 seconds.",Siphoning-Strife,35931,1.2.3,* Fixed an issue where the red glow from this ability would last longer than intended.,Magic Damage,,Heal Self,"Steal an enemy's life force, dealing [5717 / 5779 / 5842 / 5905] Magic Damage and healing you for 35% of the damage inflicted every 2 seconds for 10 seconds.",Heal Others,,1,2700 Magicka,Enemy,Instant,Leech Health,,ON-skill-Strife.jpg,Strife,,,"Steal an enemy's life force, dealing [4235 / 4281 / 4328 / 4374] Magic Damage and healing you or 3 other nearby allies for 50% of the damage inflicted every 2 seconds for 10 seconds.",Funnel Health,35941,Heals two additional targets.,Swallow Soul,35949,Siphoning-Swallow Soul,Increases the damage done but reduces the healing caused. Heal only targets yourself.,Siphoning-Funnel Health,Magicka Cost,,10 seconds,,Magicka,28 meters,,,,,,,,,,,,15 meters
Online:Strike from the Shadows,Vampire,"While you are at Vampire Stage 2 or higher When you leave Sneak, invisibility, or Mist Form your Weapon Damage and Spell Damage is increased by 150 for 6 seconds.",Vampire-Strike from the Shadows,46040,,,Passive Effect,Passive,Stealth Bonus,"While you are at Vampire Stage 2 or higher When you leave Sneak, invisibility, or Mist Form your Weapon Damage and Spell Damage is increased by 300 for 6 seconds.",Increase Weapon Damage,4,,,,,Increase Spell Damage,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Subclassing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Summon Shade,Shadow,"Summon a shade version of yourself to attack an enemy and fight at your side for 20 seconds. The shade slashes at an enemy, dealing [1230 / 1243 / 1257 / 1270] Magic Damage once every 2 seconds, and inflicts Minor Maim for 4 seconds, reducing the enemy's damage done by 5%.",Shadow-Summon Shade,36313,1.1.2,* Dark Shades: This ability now deals more damage as the ability ranks up.,Summon,,Magic Damage,"Cost: 3780 Magicka. Summon a shade version of yourself to stay in place and attack an enemy from range for 20 seconds. The shade shoots at an enemy, dealing [1269 / 1282 / 1296 / 1310] Magic Damage every 2 seconds, and inflicts Minor Maim for 4 seconds, reducing the enemy's damage done by 5%. While the shade is summoned, you can activate this ability again for no cost to teleport to the shade's location.",Reduce Damage Dealt,,42,2970 Magicka,Self,Instant,Area of Effect,,ON-npc-Shade.jpg,A Shade,,,"Summon a shade version of yourself to attack an enemy and fight at your side for 20 seconds. The shade attacks nearby enemies within 9 meters of it, dealing [1651 / 1669 / 1687 / 1705] Magic Damage once every 2 seconds and afflicting them with Minor Maim for 4 seconds, reducing their damage done by 5%.",Dark Shade,36283,The summoned shade's attacks now hit in an area and deal increased damage.,Shadow Image,36298,Shadow-Shadow Image,The summoned shade now is stationary and attacks from a range but costs more. Activating the ability again while the shade is active allows you to teleport to its position.,Shadow-Dark Shade,Teleport,,20 seconds,Magicka Cost,Magicka,,,,,,,,,,,,,
Online:Summon Storm Atronach,Daedric Summoning,"Cost: [275 / 250 / 225 / 200] Ultimate. Summon an immobile storm atronach at the target location. Its arrival deals 6149 Shock Damage and stuns enemies for 3 seconds. The atronach zaps the closest enemy, dealing 3074 Shock Damage every 1 second. An ally near the atronach can activate the Charged Lightning Synergy synergy, granting nearby allies Major Berserk for 10 seconds, increasing their damage done by 10%.",Daedric Summoning-Summon Storm Atronach,30538,1.1.2,* The storm atronach summoned by this ability now increases in damage as the ability ranks up.,Summon,Ultimate,Shock Damage,"Radius: 8 meters. Summon an immobile storm atronach at the target location. Its arrival deals [6149 / 6216 / 6284 / 6351] Shock Damage and stuns enemies for 3 seconds. The atronach calls upon a lightning storm every 2 seconds, dealing [6149 / 6216 / 6284 / 6351] Shock Damage to enemies around it. Enemies hit are afflicted with the Concussion status effect. An ally near the atronach can activate the Charged Lightning Synergy synergy, granting nearby allies Major Berserk for 10 seconds, increasing their damage done by 10%.",Stun,,12,200 Ultimate,Ground,Instant,Area of Effect,,ON-creature-Summoned Storm Atronach.jpg,A Summoned Storm Atronach,,,"Summon an immobile storm atronach at the target location. Its arrival deals 6149 Shock Damage and stuns enemies for 3 seconds. The atronach zaps the closest enemy, dealing [3996 / 4039 / 4083 / 4127] Shock Damage every 1 second. An ally near the atronach can activate the Charged Lightning Synergy synergy, granting nearby allies Major Berserk for 10 seconds, increasing their damage done by 10%.",Greater Storm Atronach,30575,Increases the health and damage of the atronach.,Summon Charged Atronach,30553,Daedric Summoning-Summon Charged Atronach,"The atronach now uses a powerful area of effect attack, which always applies Concussion.",Daedric Summoning-Greater Storm Atronach,Damage Over Time,,15 seconds,Synergy,,28 meters,Increase Damage Dealt,6 meters,,,Ultimate Cost,,,,Apply Status Effect,,,
Online:Summon Unstable Familiar,Daedric Summoning,"Command the powers of Oblivion to send a Daedric familiar to fight at your side. The familiar's attacks deal [922 / 932 / 942 / 952] Shock Damage. Once summoned, you can activate the familiar's special ability for 3510 Magicka, dealing [1117 / 1129 / 1141 / 1153] Shock Damage every 2 seconds for 20 seconds to enemies near them. The familiar remains until killed or unsummoned.",Daedric Summoning-Summon Unstable Familiar,30641,1.2.3,* This ability's tooltip now mentions it also explodes when unsummoned.,Summon,,Shock Damage,"Command the powers of Oblivion to send a Daedric familiar to fight at your side. The familiar's attacks deal [952 / 962 / 972 / 983] Shock Damage. Once summoned, you can activate the familiar's special ability for 3510 Magicka, dealing [1154 / 1166 / 1179 / 1192] Shock Damage every 2 seconds for 20 seconds to enemies near them. The second hit stuns enemies hit for 3 seconds. The familiar remains until killed or unsummoned.",Damage Over Time,,1,3510 Magicka,Self,1.5 seconds,Physical Damage,,ON-creature-Unstable Familiar.jpg,An Unstable Familiar,,,"Command the powers of Oblivion to send a Daedric clannfear to fight at your side. The clannfear's headbutt deals [952 / 962 / 972 / 983] Physical Damage, while its tail spike hits nearby enemies for [952 / 962 / 972 / 983] Physical Damage after 1 second. Once summoned, you can activate the clannfear's special ability for 4320 Magicka, healing you for [4957 / 5011 / 5066 / 5120] and the clannfear for [2477 / 2505 / 2532 / 2559]. The clannfear remains until killed or unsummoned.",Summon Unstable Clannfear,30657,"Summons a clannfear instead of a familiar. Once summoned, you can activate the clannfear's special ability to heal you and the clannfear based on your Max Health. The clannfear's basic attacks deal Physical Damage.",Summon Volatile Familiar,30674,Daedric Summoning-Summon Volatile Familiar,"You summon a volatile familiar. Once summoned, you can activate the familiar's special ability to pulse area damage and stun enemies.",Daedric Summoning-Summon Unstable Clannfear,Heal Self,,,Area of Effect,Magicka,,Stun,,,,Magicka Cost,,,,,,,
Online:Summon Winged Twilight,Daedric Summoning,"Call on Azura to send a winged twilight to fight at your side. The winged twilight's zap deals [922 / 932 / 942 / 952] Shock Damage and its kick deals [922 / 932 / 942 / 952] Shock Damage. Once summoned, you can activate the winged twilight's special ability for 4590 Magicka, causing it to heal a friendly target for [9225 / 9326 / 9427 / 9529] and itself for [4608 / 4657 / 4709 / 4759]. The winged twilight remains until killed or unsummoned.",Daedric Summoning-Summon Winged Twilight,30587,1.1.2,* Rebate: Fixed an issue with this ability. It will now properly recover magicka when your Summoned Winged Twilight is killed.,Summon,,Shock Damage,"Call on Azura to send a twilight matriarch to fight at your side. The twilight matriarch's zap deals 952 Shock Damage and its kick deals 952 Shock Damage. Once summoned, you can activate the twilight matriarch's special ability for 4590 Magicka, causing it to heal 2 friendly targets for [9528 / 9632 / 9737 / 9842] and itself for [4764 / 4816 / 4868 / 4921]. The twilight matriarch remains until killed or unsummoned.",Heal Self,,20,3510 Magicka,Area,1.5 seconds,Heal Others,,ON-creature-Winged Twilight (Summoned).jpg,A Winged Twilight,,,"Target: Self. Call on Azura to send a twilight tormentor to fight at your side. The twilight tormentor's zap deals [1269 / 1282 / 1296 / 1310] Shock Damage and its kick deals [1269 / 1282 / 1296 / 1310] Shock Damage. Once summoned, you can activate the twilight tormentor's special ability for 2700 Magicka, causing it to deal 60% more damage to enemies above 50% Health for 20 seconds. The twilight tormentor remains until killed or unsummoned.",Summon Twilight Tormentor,30598,"You summon a twilight tormentor, which deals higher damage. Once summoned, you can activate the twilight's special ability to grant it a damage bonus to high health enemies.",Summon Twilight Matriarch,30626,Daedric Summoning-Summon Twilight Matriarch,"You summon a twilight matriarch. Once summoned, you can activate the twilight's special ability to heal the matriarch and up to 2 other friendly targets.",Daedric Summoning-Summon Twilight Tormentor,Reverse Execute,,,Magicka Cost,Magicka,,,,,,,,,,,,50%,28 meters
Online:Sun Brand,Blazing Might,"Isobel Veloise hurls a blazing ball of fire at an enemy, dealing 3150/6000 Flame Damage on impact and an additional 2360/4496 Flame Damage over 8 seconds.",Companion-Sun Brand,163452,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,2,11.6 seconds,Enemy,0.2 seconds,,,,,,,,,,,,,,,,,High Isle,8 seconds,,,28 meters,,,Flame Damage,Damage Over Time,,,,,,,,
Online:Sun Fire,Dawn's Wrath,"Blast an enemy with a charge of radiant heat, dealing [3074 / 3107 / 3141 / 3175] Flame Damage, and an additional [9210 / 9300 / 9410 / 9510] Flame Damage over 20 seconds. Upon activation you gain Major Savagery and Major Prophecy for 20 seconds, increasing your Weapon Critical and Spell Critical rating by 2629.",Dawn's Wrath-Sun Fire,24171,1.2.3,"* This ability's damage-over-time now lasts 1 additional second, and deals 10% more damage.",Fire Damage,,Damage Over Time,"Area: 5 meters. Blast up to three enemies with a charge of radiant heat, dealing [3175 / 3209 / 3244 / 3279] Flame Damage, an additional 9520 Flame Damage over 20 seconds, and reducing their Movement Speed by 40% for 3 seconds. Upon activation you gain Major Savagery and Major Prophecy for 20 seconds, increasing your Weapon Critical and Spell Critical rating by 2629.",Weapon Critical,,1,2970 Magicka,Enemy,Instant,Spell Critical,,ON-skill-Sun Fire.jpg,Sun Fire,,,"Duration: 30 seconds. Blast an enemy with a charge of radiant heat, dealing 3175 Flame Damage, and an additional [14280 / 14430 / 14595 / 14745] Flame Damage over 30 seconds. Upon activation you gain Major Savagery and Major Prophecy for 30 seconds, increasing your Weapon Critical and Spell Critical rating by 2629.",Vampire's Bane,24180,Increases the duration.,Reflective Light,24195,Dawn's Wrath-Reflective Light,"Splits the projectile, allowing it to affect two additional nearby enemies. Briefly snares enemies hit.",Dawn's Wrath-Vampire's Bane,Reduce Movement Speed,,20 seconds,Multiple Targets,Magicka,28 meters,Magicka Cost,,,,,,,,,,,
Online:Sun Shield,Aedric Spear,"Surround yourself with solar rays, dealing [4612 / 4662 / 4713 / 4764] Magic Damage to nearby enemies and applying Minor Maim to them for 10 seconds, reducing their damage done by 5%. The rays then protect you, granting a damage shield that absorbs up to 4800 damage for 6 seconds, increasing by 10% for each enemy hit, up to 60%. This portion of the ability scales off your Max Health.",Aedric Spear-Sun Shield,27501,1.1.2,* Radiant Ward: Fixed an issue where this ability wasn't properly progressing as it ranked up. This results in a slight increase to its damage.,Magic Damage,,Area of Effect,"Radius: 8 meters. Surround yourself with solar rays, applying Minor Maim to nearby enemies for 10 seconds, reducing their damage done by 5%. You gain a damage shield that absorbs up to 4800 damage for 6 seconds, increasing by 10% for each enemy hit, up to 60%. This ability scales off your Max Health. When the shield expires it explodes, dealing [30 / 31 / 32 / 33]% of damage absorbed as Magic Damage to nearby enemies.",Reduce Damage Dealt,,42,4590 Magicka,Area,Instant,Damage Shield,,ON-skill-Sun Shield.jpg,A character affected by Sun Shield,,,"Cost: 4320 Magicka. Surround yourself with solar rays, dealing 4764 Magic Damage to nearby enemies and applying Minor Maim to them for 10 seconds, reducing their damage done by 5%. The rays then protect you, granting a damage shield that absorbs up to [4800 / 4852 / 4905 / 4958] damage for 6 seconds, increasing by 20% for each enemy hit, up to 120%. This portion of the ability scales off your Max Health.",Radiant Ward,27514,Has reduced cost and the shield is strengthened further for each enemy hit.,Blazing Shield,27530,Aedric Spear-Blazing Shield,"No longer deals damage to enemies on activation, instead deals damage when shield expires based on the amount it absorbed, and increases the radius.",Aedric Spear-Radiant Ward,Multiple Targets Hit Bonus,,6 seconds,Counter Attack,Magicka,,Magicka Cost,5 meters,,,,,,,,,,
Online:Sunder,Two Handed (Companion),"Your Companion slices all enemies in front of them with a mighty swing, dealing 1575 Physical Damage and an additional 1572 Physical Damage over 8 seconds.",Companion-Sunder,152512,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,10,12 seconds,Cone,0.6 seconds,,,,,,,,,,,,,,,,,Blackwood,,,,,,7 meters,Physical Damage,Area of Effect,,,,,,Damage Over Time,,
Online:Sundering Swing,Volendrung,"Smash Volendrung into a structure, dealing 10000 Physical Damage every 0.8 seconds for 3 seconds.",Volendrung-Sundering Swing,117985,,,PvP Bonus,Artifact,Physical Damage,,Damage Over Time,,1,Free,Enemy,,No Cost,,ON-skill-Sundering Swing.jpg,Sundering Swing,,,,,,,,,,,,,,3 seconds,,Magicka,12 meters,,,,,,,,,,,,
